id,GeoName,Description,2016,2017,2018,2019,2020
1,Alabama (Metropolitan Portion),Wage and salary employment,1643706,1664641,1686588,1711156,1643053
2,Alabama (Metropolitan Portion),Proprietors employment Farm proprietors employment,17653,17142,16771,16389,16466
3,Alabama (Metropolitan Portion),Proprietors employmentNonfarm proprietors employment 2/,423880,432197,447698,442971,428638
4,Alabama (Metropolitan Portion),Farm employment,21352,21534,20490,19416,19872
6,Alabama (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Mining, quarrying, and oil and gas extraction",8693,7939,7353,7000,6494
7,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Utilities,11940,11334,11181,10875,10701
8,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Construction,114882,116259,121459,125044,123120
9,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Manufacturing,174402,176320,178476,179351,172203
10,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Wholesale trade,70131,69696,70679,70423,69298
11,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Retail trade,226457,226733,226342,224842,217831
13,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Information,23733,24106,24419,24201,22325
14,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Finance and insurance,96244,97731,100114,97570,98867
15,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Real estate and rental and leasing,90032,93073,96087,92527,92128
16,Alabama (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Professional, scientific, and technical services",132024,136100,140652,142288,143286
17,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Management of companies and enterprises,16919,16073,16383,16858,16487
18,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Administrative and support and waste management and remediation services,149370,154575,157164,161316,150541
19,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Educational services,36130,36651,35850,36894,34253
20,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Health care and social assistance,200843,204263,207762,213194,206243
21,Alabama (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Arts, entertainment, and recreation",32747,34215,36864,36851,30257
22,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Accommodation and food services,160247,164895,167088,168899,144517
23,Alabama (Metropolitan Portion),Nonfarm employment Private nonfarm employment Other services (except government and government enterprises),134330,132847,138127,139080,130468
24,Alabama (Metropolitan Portion),Government and government enterprises Federal civilian,45991,45929,45926,46904,48491
25,Alabama (Metropolitan Portion),Government and government enterprises Military,20887,20856,20573,20631,20292
26,Alabama (Metropolitan Portion),Government and government enterprises State and local State government,90045,91868,93308,94954,94110
27,Alabama (Metropolitan Portion),Government and government enterprises State and local Local government,159653,161646,162741,163648,159528
1,Alabama (Nonmetropolitan Portion) *,Wage and salary employment,406420,409276,412483,416165,401925
2,Alabama (Nonmetropolitan Portion) *,Proprietors employment Farm proprietors employment,19627,19044,18629,18207,18289
3,Alabama (Nonmetropolitan Portion) *,Proprietors employmentNonfarm proprietors employment 2/,108451,107512,110214,107816,104098
4,Alabama (Nonmetropolitan Portion) *,Farm employment,23141,23223,22161,21078,21521
6,Alabama (Nonmetropolitan Portion) *,"Nonfarm employment Private nonfarm employment Mining, quarrying, and oil and gas extraction",2765,2492,2288,2172,2019
7,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Utilities,3021,2804,3078,2881,2871
8,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Construction,26819,26266,26575,27400,27184
