GeoFips,GeoName,LineCode,Description,2016,2017,2018,2019,2020
998,United States (Metropolitan Portion),,Employment by place of work,,,,,
998,United States (Metropolitan Portion),10,Total employment (number of jobs),169970416,172906517,176616181,178045966,168252028
998,United States (Metropolitan Portion),,By type,,,,,
998,United States (Metropolitan Portion),20,  Wage and salary employment,132630405,134570663,136851441,138926673,130532723
998,United States (Metropolitan Portion),40,  Proprietors employment,37340011,38335854,39764740,39119293,37719305
998,United States (Metropolitan Portion),50,    Farm proprietors employment,792909,784231,779376,777526,775462
998,United States (Metropolitan Portion),60,    Nonfarm proprietors employment 2/,36547102,37551623,38985364,38341767,36943843
998,United States (Metropolitan Portion),,By industry,,,,,
998,United States (Metropolitan Portion),70,  Farm employment,1303796,1291110,1284916,1281642,1268814
998,United States (Metropolitan Portion),80,  Nonfarm employment,168666620,171615407,175331265,176764324,166983214
998,United States (Metropolitan Portion),90,    Private nonfarm employment,147988222,150801769,154458677,155714382,146414802
998,United States (Metropolitan Portion),100,"      Forestry, fishing, and related activities",600487,603123,618202,612598,594610
998,United States (Metropolitan Portion),200,"      Mining, quarrying, and oil and gas extraction",974962,871312,765531,713340,613879
998,United States (Metropolitan Portion),300,      Utilities,497505,473307,473220,474534,470647
998,United States (Metropolitan Portion),400,      Construction,8973580,9212020,9610139,9779849,9489397
998,United States (Metropolitan Portion),500,      Manufacturing,10616928,10697894,10872134,10947783,10378798
998,United States (Metropolitan Portion),600,      Wholesale trade,5866751,5901636,5878744,5879448,5618636
998,United States (Metropolitan Portion),700,      Retail trade,16640521,16804170,16730787,16450247,15541316
998,United States (Metropolitan Portion),800,      Transportation and warehousing,6640594,7209065,7772596,8390635,8272424
998,United States (Metropolitan Portion),900,      Information,3183756,3205003,3225534,3212873,3071706
998,United States (Metropolitan Portion),1000,      Finance and insurance,9413093,9484969,9865788,9702607,9765288
998,United States (Metropolitan Portion),1100,      Real estate and rental and leasing,8078353,8393793,8652060,8348726,8138076
998,United States (Metropolitan Portion),1200,"      Professional, scientific, and technical services",12734119,13074296,13505163,13663681,13538576
998,United States (Metropolitan Portion),1300,      Management of companies and enterprises,2468544,2441004,2590350,2624653,2533630
998,United States (Metropolitan Portion),1400,      Administrative and support and waste management and remediation services,11079067,11238874,11462582,11604908,10780374
998,United States (Metropolitan Portion),1500,      Educational services,4310865,4394641,4433288,4582429,4284930
998,United States (Metropolitan Portion),1600,      Health care and social assistance,19468939,19853897,20272936,20737187,20147701
998,United States (Metropolitan Portion),1700,"      Arts, entertainment, and recreation",3984824,4132529,4278494,4266084,3261445
998,United States (Metropolitan Portion),1800,      Accommodation and food services,12723711,13082779,13303530,13516925,10675428
998,United States (Metropolitan Portion),1900,      Other services (except government and government enterprises),9731623,9727457,10147599,10205875,9237941
998,United States (Metropolitan Portion),2000,    Government and government enterprises,20678398,20813638,20872588,21049942,20568412
998,United States (Metropolitan Portion),2001,      Federal civilian,2583025,2594214,2587922,2614044,2705455
998,United States (Metropolitan Portion),2002,      Military,1765235,1769788,1688370,1693409,1700750
998,United States (Metropolitan Portion),2010,      State and local,16330138,16449636,16596296,16742489,16162207
998,United States (Metropolitan Portion),2011,        State government,4589462,4621982,4651120,4707176,4632702
998,United States (Metropolitan Portion),2012,        Local government,11740676,11827654,11945176,12035313,11529505
999,United States (Nonmetropolitan Portion) *,,Employment by place of work,,,,,
999,United States (Nonmetropolitan Portion) *,10,Total employment (number of jobs),23455484,23486583,23664019,23598234,22524772
999,United States (Nonmetropolitan Portion) *,,By type,,,,,
999,United States (Nonmetropolitan Portion) *,20,  Wage and salary employment,17329595,17377337,17509559,17607327,16703277
999,United States (Nonmetropolitan Portion) *,40,  Proprietors employment,6125889,6109246,6154460,5990907,5821495
999,United States (Nonmetropolitan Portion) *,50,    Farm proprietors employment,1031091,1018769,1012624,1009474,1006538
999,United States (Nonmetropolitan Portion) *,60,    Nonfarm proprietors employment 2/,5094798,5090477,5141836,4981433,4814957
999,United States (Nonmetropolitan Portion) *,,By industry,,,,,
999,United States (Nonmetropolitan Portion) *,70,  Farm employment,1340204,1330890,1321084,1319358,1322186
999,United States (Nonmetropolitan Portion) *,80,  Nonfarm employment,22115280,22155693,22342935,22278876,21202586
999,United States (Nonmetropolitan Portion) *,90,    Private nonfarm employment,18430678,18476331,18676523,18596818,17641998
999,United States (Nonmetropolitan Portion) *,100,"      Forestry, fishing, and related activities",334713,335177,342898,337102,329890
999,United States (Nonmetropolitan Portion) *,200,"      Mining, quarrying, and oil and gas extraction",477238,449588,413969,391060,328221
999,United States (Nonmetropolitan Portion) *,300,      Utilities,124495,117493,117480,116766,115453
999,United States (Nonmetropolitan Portion) *,400,      Construction,1348520,1345980,1377661,1393451,1360903
999,United States (Nonmetropolitan Portion) *,500,      Manufacturing,2514972,2535306,2578066,2580217,2428702
999,United States (Nonmetropolitan Portion) *,600,      Wholesale trade,594649,591264,592656,589052,570664
999,United States (Nonmetropolitan Portion) *,700,      Retail trade,2553979,2539930,2509113,2455753,2407884
999,United States (Nonmetropolitan Portion) *,800,      Transportation and warehousing,773606,787635,806304,825565,793476
999,United States (Nonmetropolitan Portion) *,900,      Information,201144,199497,194166,186827,172894
999,United States (Nonmetropolitan Portion) *,1000,      Finance and insurance,775307,765331,792012,759993,758712
999,United States (Nonmetropolitan Portion) *,1100,      Real estate and rental and leasing,788847,809907,835040,799774,784524
999,United States (Nonmetropolitan Portion) *,1200,"      Professional, scientific, and technical services",762781,773904,792937,793019,787724
999,United States (Nonmetropolitan Portion) *,1300,      Management of companies and enterprises,135256,127696,134550,133647,130370
