GeoFips,GeoName,LineCode,Description,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4
0,United States *,1,All industry total,19148194,19304506,19561896,19894750,20155486,20470197,20687278,20819269,21013085,21272448,21531839,21706532,21538032,19636731,21362428,21704706
0,United States *,2,  Private industries,16730594,16872946,17108398,17414850,17645963,17933657,18125465,18245085,18432334,18675663,18901737,19040348,18822568,16979280,18659118,18979774
0,United States *,3,"      Agriculture, forestry, fishing and hunting",180896,178554,169840,172445,177032,181441,169419,169874,156320,155974,160755,164924,177606,132405,159031,179814
0,United States *,6,"      Mining, quarrying, and oil and gas extraction",261010,268065,272807,299704,308078,322567,331543,324038,305706,308686,291336,289004,246406,139449,193578,224812
0,United States *,10,      Utilities,305189,313825,310873,316337,318856,320546,314888,321876,322614,327106,335312,338173,324803,333396,349685,343917
0,United States *,11,      Construction,787277,791550,804380,819325,833156,842268,851676,862064,886774,899794,912702,916731,918090,849817,895946,913630
0,United States *,12,      Manufacturing,2144372,2170016,2211211,2273057,2296128,2326099,2346294,2371548,2343830,2368369,2379602,2383827,2321514,2052715,2294985,2297812
0,United States *,13,          Durable goods manufacturing,1207966,1221976,1242627,1269978,1280906,1292876,1307066,1316496,1327871,1330330,1326999,1327190,1304756,1144213,1322170,1324511
0,United States *,25,          Nondurable goods manufacturing,936406,948040,968584,1003078,1015222,1033222,1039228,1055052,1015958,1038039,1052603,1056637,1016758,908502,972816,973301
0,United States *,34,      Wholesale trade,1145406,1157362,1169944,1190205,1194270,1208863,1221869,1244484,1266097,1267335,1287833,1288530,1289834,1151064,1304536,1314349
0,United States *,35,      Retail trade,1070037,1073391,1087094,1096974,1108274,1120374,1125526,1125574,1142453,1159516,1182272,1181929,1185428,1104369,1267691,1263048
0,United States *,36,      Transportation and warehousing,597366,606320,611995,620651,633962,642770,651508,666467,675745,681791,689003,684310,663515,513074,576493,600277
0,United States *,45,      Information,983838,993256,1010272,1029493,1034175,1070142,1083456,1081675,1096115,1124373,1138582,1147599,1153013,1123137,1196846,1214081
0,United States *,51,      Finance and insurance,1504419,1478354,1517947,1548599,1585563,1626321,1669569,1628155,1665482,1703563,1717099,1770218,1732462,1759424,1807149,1880052
0,United States *,56,      Real estate and rental and leasing,2464830,2494090,2519409,2552152,2585392,2616877,2645458,2676030,2712817,2754117,2796234,2811129,2825562,2731145,2818296,2816552
0,United States *,60,"      Professional, scientific, and technical services",1425922,1446421,1469027,1493720,1525729,1558621,1573557,1582508,1615288,1631736,1659307,1670670,1681641,1576494,1675956,1709843
0,United States *,64,      Management of companies and enterprises,361682,367587,374162,387889,386035,387332,398290,399050,410359,413505,411504,413150,410609,399765,405791,431261
0,United States *,65,      Administrative and support and waste management and remediation services,586603,598359,609347,619028,622792,630976,638660,650194,657499,664420,672704,675534,670893,583254,650365,672665
