observation_date,MANEMP
1979-12-01,19301
1980-01-01,19282
1980-02-01,19219
1980-03-01,19217
1980-04-01,18973
1980-05-01,18726
1980-06-01,18490
1980-07-01,18276
1980-08-01,18414
1980-09-01,18445
1980-10-01,18506
1980-11-01,18601
1980-12-01,18640
1981-01-01,18639
1981-02-01,18613
1981-03-01,18647
1981-04-01,18711
1981-05-01,18766
1981-06-01,18789
1981-07-01,18785
1981-08-01,18748
1981-09-01,18712
1981-10-01,18566
1981-11-01,18409
1981-12-01,18223
1982-01-01,18047
1982-02-01,17981
1982-03-01,17857
1982-04-01,17683
1982-05-01,17588
1982-06-01,17430
1982-07-01,17278
1982-08-01,17160
1982-09-01,17074
1982-10-01,16853
1982-11-01,16722
1982-12-01,16690
1983-01-01,16705
1983-02-01,16706
1983-03-01,16711
1983-04-01,16794
1983-05-01,16885
1983-06-01,16960
1983-07-01,17059
1983-08-01,17118
1983-09-01,17255
1983-10-01,17367
1983-11-01,17479
1983-12-01,17551
1984-01-01,17630
1984-02-01,17728
1984-03-01,17806
1984-04-01,17872
1984-05-01,17916
1984-06-01,17967
1984-07-01,18013
1984-08-01,18034
1984-09-01,18019
1984-10-01,18024
1984-11-01,18016
1984-12-01,18023
1985-01-01,18009
1985-02-01,17966
1985-03-01,17939
1985-04-01,17886
1985-05-01,17855
1985-06-01,17819
1985-07-01,17776
1985-08-01,17756
1985-09-01,17718
1985-10-01,17708
1985-11-01,17697
1985-12-01,17693
1986-01-01,17686
1986-02-01,17663
1986-03-01,17624
1986-04-01,17616
1986-05-01,17593
1986-06-01,17530
1986-07-01,17497
1986-08-01,17489
1986-09-01,17498
1986-10-01,17477
1986-11-01,17472
1986-12-01,17478
1987-01-01,17465
1987-02-01,17499
1987-03-01,17507
1987-04-01,17525
1987-05-01,17542
1987-06-01,17537
1987-07-01,17593
1987-08-01,17630
1987-09-01,17691
1987-10-01,17729
1987-11-01,17775
1987-12-01,17809
1988-01-01,17790
1988-02-01,17823
1988-03-01,17844
1988-04-01,17874
1988-05-01,17892
1988-06-01,17916
1988-07-01,17926
1988-08-01,17891
1988-09-01,17914
1988-10-01,17966
1988-11-01,18003
1988-12-01,18025
1989-01-01,18057
1989-02-01,18055
1989-03-01,18060
1989-04-01,18055
1989-05-01,18040
1989-06-01,18013
1989-07-01,17980
1989-08-01,17964
1989-09-01,17922
1989-10-01,17895
1989-11-01,17886
1989-12-01,17881
1990-01-01,17797
1990-02-01,17893
1990-03-01,17868
1990-04-01,17845
1990-05-01,17797
1990-06-01,17776
1990-07-01,17704
1990-08-01,17649
1990-09-01,17609
1990-10-01,17577
1990-11-01,17428
1990-12-01,17395
1991-01-01,17330
1991-02-01,17211
1991-03-01,17140
1991-04-01,17093
1991-05-01,17070
1991-06-01,17044
1991-07-01,17015
1991-08-01,17025
1991-09-01,17010
1991-10-01,16999
1991-11-01,16961
1991-12-01,16916
1992-01-01,16839
1992-02-01,16829
1992-03-01,16805
1992-04-01,16831
1992-05-01,16835
1992-06-01,16826
1992-07-01,16819
1992-08-01,16783
1992-09-01,16761
1992-10-01,16751
1992-11-01,16758
1992-12-01,16769
1993-01-01,16791
1993-02-01,16805
1993-03-01,16795
1993-04-01,16772
1993-05-01,16766
1993-06-01,16742
1993-07-01,16739
1993-08-01,16741
1993-09-01,16769
1993-10-01,16778
1993-11-01,16800
1993-12-01,16815
1994-01-01,16855
1994-02-01,16862
1994-03-01,16897
1994-04-01,16933
1994-05-01,16962
1994-06-01,17010
1994-07-01,17026
1994-08-01,17081
1994-09-01,17115
1994-10-01,17144
1994-11-01,17186
1994-12-01,17217
1995-01-01,17262
1995-02-01,17265
1995-03-01,17263
1995-04-01,17278
1995-05-01,17259
1995-06-01,17247
1995-07-01,17218
1995-08-01,17240
1995-09-01,17247
1995-10-01,17216
1995-11-01,17209
1995-12-01,17231
1996-01-01,17208
1996-02-01,17229
1996-03-01,17193
1996-04-01,17204
1996-05-01,17222
1996-06-01,17226
1996-07-01,17223
1996-08-01,17255
1996-09-01,17252
1996-10-01,17268
1996-11-01,17277
1996-12-01,17284
1997-01-01,17297
1997-02-01,17316
1997-03-01,17340
1997-04-01,17349
1997-05-01,17362
1997-06-01,17387
1997-07-01,17389
1997-08-01,17452
1997-09-01,17465
1997-10-01,17513
1997-11-01,17556
1997-12-01,17588
1998-01-01,17619
1998-02-01,17627
1998-03-01,17637
1998-04-01,17637
1998-05-01,17624
1998-06-01,17608
1998-07-01,17422
1998-08-01,17563
1998-09-01,17557
1998-10-01,17512
1998-11-01,17465
1998-12-01,17449
1999-01-01,17427
1999-02-01,17395
1999-03-01,17368
1999-04-01,17344
1999-05-01,17333
1999-06-01,17295
1999-07-01,17308
1999-08-01,17287
1999-09-01,17281
1999-10-01,17272
1999-11-01,17282
1999-12-01,17280
2000-01-01,17284
2000-02-01,17285
2000-03-01,17302
2000-04-01,17298
2000-05-01,17279
2000-06-01,17296
2000-07-01,17322
2000-08-01,17287
2000-09-01,17230
2000-10-01,17217
2000-11-01,17202
2000-12-01,17181
2001-01-01,17104
2001-02-01,17028
2001-03-01,16938
2001-04-01,16802
2001-05-01,16661
2001-06-01,16515
2001-07-01,16382
2001-08-01,16232
2001-09-01,16117
2001-10-01,15972
2001-11-01,15825
2001-12-01,15711
2002-01-01,15587
2002-02-01,15515
2002-03-01,15443
2002-04-01,15392
2002-05-01,15337
2002-06-01,15298
2002-07-01,15256
2002-08-01,15171
2002-09-01,15119
2002-10-01,15060
2002-11-01,14992
2002-12-01,14912
2003-01-01,14866
2003-02-01,14781
2003-03-01,14721
2003-04-01,14609
2003-05-01,14557
2003-06-01,14493
2003-07-01,14402
2003-08-01,14376
2003-09-01,14347
2003-10-01,14334
2003-11-01,14316
